PM2.5,PM10,So2,No2,Co,O3,class
75.0,181.0,65.0,58.0,1.78,34.0,3
225.0,373.0,136.0,124.0,4.79,17.0,1
200.0,346.0,111.0,97.0,4.42,22.0,1
197.0,310.0,118.0,98.0,2.95,16.0,1
180.0,323.0,123.0,115.0,3.43,16.0,1
156.0,268.0,108.0,83.0,2.76,13.0,2
206.0,316.0,114.0,91.0,3.04,17.0,1
95.0,161.0,76.0,64.0,2.43,30.0,3
115.0,198.0,96.0,70.0,2.15,35.0,2
250.0,373.0,140.0,100.0,4.11,31.0,1
355.0,539.0,176.0,134.0,5.62,28.0,4
196.0,302.0,111.0,86.0,3.28,36.0,2
218.0,324.0,167.0,95.0,3.72,29.0,1
218.0,322.0,153.0,110.0,3.85,26.0,1
408.0,596.0,170.0,139.0,6.21,21.0,4
517.0,751.0,179.0,159.0,6.41,20.0,4
321.0,448.0,132.0,113.0,3.87,17.0,1
386.0,602.0,146.0,139.0,5.67,20.0,4
303.0,499.0,124.0,122.0,4.71,22.0,4
26.0,134.0,39.0,28.0,0.76,48.0,0
97.0,151.0,88.0,62.0,2.29,33.0,3
210.0,326.0,159.0,104.0,4.23,23.0,1
222.0,361.5,172.0,128.5,4.24,20.5,1
234.0,397.0,185.0,153.0,4.25,18.0,1
153.0,254.0,144.0,103.0,3.26,32.0,2
102.0,168.0,118.0,58.0,2.08,36.0,3
247.0,357.0,161.0,100.0,4.65,24.0,1
164.0,236.0,102.0,73.0,2.99,36.0,2
203.0,324.0,139.0,80.0,3.88,30.0,1
194.0,316.0,124.0,87.0,3.3,36.0,1
185.0,292.0,103.0,53.0,2.7,32.0,2
133.0,229.0,76.0,52.0,2.75,25.0,2
196.0,339.0,90.0,58.0,3.07,32.0,1
42.0,116.0,42.0,27.0,1.43,56.0,0
57.0,107.0,57.0,31.0,1.92,57.0,0
82.0,136.0,80.0,33.0,1.6,52.0,3
145.0,225.0,90.0,54.0,2.77,42.0,2
124.0,170.0,52.0,45.0,2.02,39.0,3
103.0,143.0,49.0,34.0,1.79,55.0,3
34.0,54.0,58.0,37.0,1.28,52.0,0
122.0,163.0,78.0,52.0,2.54,40.0,3
154.0,229.0,147.0,75.0,3.28,34.0,2
241.0,347.0,166.0,101.0,4.22,28.0,1
303.0,491.0,167.0,112.0,5.57,32.0,4
373.0,569.0,174.0,126.0,6.1,38.0,4
429.0,628.0,167.0,145.0,5.74,31.0,4
347.0,509.0,178.0,116.0,4.82,26.0,4
123.0,207.0,97.0,57.0,2.8,46.0,2
82.0,138.0,73.0,60.0,2.19,45.0,3
97.0,167.0,89.0,68.0,2.46,20.0,3
225.0,336.0,122.0,81.0,3.45,23.0,1
252.0,389.0,159.0,121.0,3.81,19.0,1
286.0,442.0,165.0,126.0,4.43,12.0,1
233.0,357.0,110.0,90.0,3.72,9.0,1
239.0,376.0,158.0,101.0,4.43,9.0,1
356.0,560.0,200.0,126.0,5.59,15.0,4
434.0,672.0,188.0,151.0,6.04,22.0,4
113.0,172.0,63.0,63.0,2.93,24.0,3
89.0,152.0,126.0,70.0,3.33,20.0,3
131.0,230.0,116.0,73.0,3.43,43.0,2
187.0,309.0,124.0,93.0,4.12,26.0,1
232.0,364.0,93.0,98.0,4.61,19.0,1
131.0,238.0,92.0,76.0,3.54,32.0,2
46.0,97.0,60.0,49.0,2.26,40.0,0
73.0,137.0,71.0,54.0,2.56,33.0,3
105.0,192.0,97.0,75.0,3.17,24.0,3
220.0,368.0,163.0,107.0,3.94,34.0,1
185.0,301.0,119.0,91.0,3.38,34.0,2
109.0,186.0,94.0,74.0,2.93,23.0,3
228.0,401.0,132.0,109.0,4.23,36.0,1
31.0,145.0,48.0,35.0,1.6,55.0,3
64.0,154.0,76.0,60.0,2.33,34.0,3
33.0,144.0,54.0,42.0,2.16,53.0,3
91.0,245.0,90.0,73.0,6.84,42.0,2
147.0,326.0,91.0,91.0,3.9,41.0,2
189.0,414.0,94.0,96.0,3.46,24.0,1
50.0,221.0,35.0,39.0,2.59,62.0,3
51.0,108.0,35.0,42.0,2.16,58.0,0
28.0,86.0,23.0,38.0,4.46,61.0,0
68.0,182.0,40.0,55.0,7.44,45.0,3
92.0,222.0,53.0,72.0,9.87,42.0,3
114.0,238.0,53.0,61.0,2.25,71.0,2
156.5,307.0,58.5,72.5,2.215,63.0,2
199.0,376.0,64.0,84.0,2.18,55.0,1
236.0,427.0,79.0,67.0,2.67,49.0,1
245.0,384.0,41.0,63.0,1.97,14.0,1
143.0,318.0,46.0,74.0,1.47,32.0,2
159.0,317.0,32.0,75.0,1.65,41.0,2
95.0,215.0,22.0,54.0,0.61,49.0,3
104.0,239.0,47.0,53.0,0.9,42.0,2
84.0,169.0,28.0,43.0,0.7,52.0,3
120.0,273.0,38.0,46.0,0.75,56.0,2
46.0,139.0,33.0,33.0,0.52,57.0,3
36.0,224.0,19.0,29.0,0.7,57.0,3
37.0,144.0,20.0,23.0,0.55,69.0,5
68.0,216.0,46.0,42.0,0.88,50.0,3
92.0,242.0,46.0,44.0,1.1,69.0,2
151.0,344.0,53.0,60.0,1.4,79.0,2
125.0,301.0,48.0,47.0,1.07,63.0,2
59.0,391.0,30.0,29.0,0.74,51.0,2
60.0,160.0,30.0,44.0,0.97,53.0,3
92.0,213.0,41.0,70.0,1.15,52.0,3
149.0,287.0,57.0,57.0,1.68,77.0,2
116.0,261.0,42.0,33.0,1.39,94.0,2
64.0,151.0,32.0,33.0,0.94,57.0,3
45.0,142.0,29.0,43.0,1.1,61.0,3
81.0,153.0,17.0,38.0,1.26,58.0,3
150.0,258.0,38.0,47.0,1.7,32.0,2
70.0,124.0,28.0,38.0,0.97,46.0,3
95.0,164.0,26.0,37.0,1.31,55.0,3
121.0,205.0,23.0,35.0,1.74,50.0,3
91.0,167.0,31.0,32.0,1.9,58.0,3
101.0,187.0,27.0,28.0,1.9,63.0,3
99.0,173.0,25.0,31.0,2.05,73.0,3
98.0,181.0,27.0,32.0,1.91,85.0,3
