PM2.5,PM10,So2,No2,Co,O3
75,181,65,58,1.78,34
225,373,136,124,4.79,17
200,346,111,97,4.42,22
197,310,118,98,2.95,16
180,323,123,115,3.43,16
156,268,108,83,2.76,13
206,316,114,91,3.04,17
95,161,76,64,2.43,30
115,198,96,70,2.15,35
250,373,140,100,4.11,31
355,539,176,134,5.62,28
196,302,111,86,3.28,36
218,324,167,95,3.72,29
218,322,153,110,3.85,26
408,596,170,139,6.21,21
517,751,179,159,6.41,20
321,448,132,113,3.87,17
386,602,146,139,5.67,20
303,499,124,122,4.71,22
26,134,39,28,0.76,48
97,151,88,62,2.29,33
210,326,159,104,4.23,23
222,361.5,172,128.5,4.24,20.5
234,397,185,153,4.25,18
153,254,144,103,3.26,32
102,168,118,58,2.08,36
247,357,161,100,4.65,24
164,236,102,73,2.99,36
203,324,139,80,3.88,30
194,316,124,87,3.3,36
185,292,103,53,2.7,32
133,229,76,52,2.75,25
196,339,90,58,3.07,32
42,116,42,27,1.43,56
57,107,57,31,1.92,57
82,136,80,33,1.6,52
145,225,90,54,2.77,42
124,170,52,45,2.02,39
103,143,49,34,1.79,55
34,54,58,37,1.28,52
122,163,78,52,2.54,40
154,229,147,75,3.28,34
241,347,166,101,4.22,28
303,491,167,112,5.57,32
373,569,174,126,6.1,38
429,628,167,145,5.74,31
347,509,178,116,4.82,26
123,207,97,57,2.8,46
82,138,73,60,2.19,45
97,167,89,68,2.46,20
225,336,122,81,3.45,23
252,389,159,121,3.81,19
286,442,165,126,4.43,12
233,357,110,90,3.72,9
239,376,158,101,4.43,9
356,560,200,126,5.59,15
434,672,188,151,6.04,22
113,172,63,63,2.93,24
89,152,126,70,3.33,20
131,230,116,73,3.43,43
187,309,124,93,4.12,26
232,364,93,98,4.61,19
131,238,92,76,3.54,32
46,97,60,49,2.26,40
73,137,71,54,2.56,33
105,192,97,75,3.17,24
220,368,163,107,3.94,34
185,301,119,91,3.38,34
109,186,94,74,2.93,23
228,401,132,109,4.23,36
31,145,48,35,1.6,55
